timestamp,fixed_col,username,tweet,hour,minute,tweet_length,word_count,mention_count,url_count,hac_cluster_tentative
Fri Jun 19 00:01:24 PDT 2009,NO_QUERY,redoranda,@ThEiCyChiLL oh yeah - forgot to pass this news .. the 2nd time meeting fr TTC reunion is on sunday .. im going  ! hw abt u ?,0,1,125,23,1,0,2
Sun Jun 14 22:38:32 PDT 2009,NO_QUERY,Yogisgal,have too much on my mind &amp; cant sleep ,22,38,42,9,0,0,1
Tue Jun 16 07:34:15 PDT 2009,NO_QUERY,GGGKeri,I don't even want to say it- I sound like a broken record. I have a headache ,7,34,77,18,0,0,1
Fri Jun 19 22:14:37 PDT 2009,NO_QUERY,dajream,@Virgo80sBaby aww  no worries the more $$$ the more probs !,22,14,59,9,1,0,2
Sun May 03 19:01:29 PDT 2009,NO_QUERY,jogillian,@Bmannn I'm so excited!!! ,19,1,26,5,1,0,2
Sat May 30 12:14:49 PDT 2009,NO_QUERY,Ems_009,yeahh i'm still sick and i have a history and a physics project waiting for me...&amp; im gonna have to start studying for exams ,12,14,129,26,0,0,1
Sun May 17 11:53:32 PDT 2009,NO_QUERY,VanillaVillain,@Chaos33176 cool! I love your music. U sound much better than natedog ,11,53,70,12,1,0,2
Sun Apr 19 23:55:53 PDT 2009,NO_QUERY,fadithoughtpick,I am crying now reading about how people were mobilized through facebook after virginia tech massacre. It was so sad ,23,55,117,20,0,0,1
Sat Apr 18 07:24:42 PDT 2009,NO_QUERY,aliciatheKook,I can already tell today is gonna be a bad day. ,7,24,48,11,0,0,1
Sun May 03 17:24:27 PDT 2009,NO_QUERY,lovewino,getting really really really high!!!! ,17,24,38,5,0,0,1
Fri May 29 16:22:06 PDT 2009,NO_QUERY,_problematique,Which would be a lot easier to get if plane tickets to AZ didnt raise $80 in price ,16,22,83,18,0,0,1
Sat May 30 09:14:36 PDT 2009,NO_QUERY,Lindacoggs,@bobbyllew developing a stutter all this footie on tv to blame ,9,14,63,11,1,0,2
Fri May 29 11:00:20 PDT 2009,NO_QUERY,clashley21,I dnt get to go play lasertag w/ my besties!     *old me's dead and gone*,11,0,73,16,0,0,1
Sun Jun 07 20:16:00 PDT 2009,NO_QUERY,CenaxOrtonxFan,And Trips didnt come back either ,20,16,33,6,0,0,1
Fri May 22 06:52:26 PDT 2009,NO_QUERY,fransongs,"@Queeniet74 Yes, but there's a reason that Brett and Jermaine are skint!  I can't afford one... ",6,52,96,18,1,0,2
Sun Jun 07 08:52:31 PDT 2009,NO_QUERY,TwilightofDoom,@ambercrumbyy I don't usually use that feature so I hope that helped ,8,52,69,13,1,0,2
Mon May 18 00:47:07 PDT 2009,NO_QUERY,Leontine1976,@PearlyM @DreamMistress The one currently residing next to my Book Goddess throne is Daemon though ,0,47,99,15,2,0,0
Mon Jun 15 15:05:05 PDT 2009,NO_QUERY,susannguyenn,"@neeenurs ew, is the weather gunna stay cold? ",15,5,46,8,1,0,2
Fri May 22 06:35:14 PDT 2009,NO_QUERY,yoko71,@KJ_Miller Hey there is no LULZ! I'm always serious!!! ,6,35,55,10,1,0,2
Thu May 28 23:37:58 PDT 2009,NO_QUERY,trishababycakes,"this time, i really need to shut it.. i'm going to sleep! my head aches badly and i really can't take it.. ",23,37,107,24,0,0,1
Tue Jun 16 03:40:52 PDT 2009,NO_QUERY,EliaTours,World press photo expo at the power house in Brisbane closes at five pm every day ,3,40,82,16,0,0,1
